decision_id,review_type,subject_scope,group_id,subject_id_a,subject_id_b,provider_split_a,provider_split_b,decision,confidence,rationale,evidence_figure,phase5_action,notes
dup-001,cross_split_near_duplicate,pair,manual_dup_001,4UEcuYsspsOsSV0XYgSR,6hpR44qukoBLy0iFwzip,valid,train,EXACT_SEMANTIC_DUPLICATE,HIGH,"Reviewers judged the pair to depict the same source content rather than two similar independent construction scenes. Byte-level identity is not claimed: phase 4A established distinct SHA-256 hashes, so this is a semantic duplicate, not a byte duplicate.",reports/figures/review_h_near_duplicates.jpg,GROUP_TOGETHER,byte_duplicate=NO; semantic_duplicate=YES; dhash=1; phash=0
dup-002,cross_split_near_duplicate,pair,manual_dup_002,FBzxttXYsNSZKcVNofUI,Um5Oft7wh92nWZzcd33C,valid,train,EXACT_SEMANTIC_DUPLICATE,HIGH,"Reviewers judged the pair to depict the same source content rather than two similar independent construction scenes. Byte-level identity is not claimed: phase 4A established distinct SHA-256 hashes, so this is a semantic duplicate, not a byte duplicate.",reports/figures/review_h_near_duplicates.jpg,GROUP_TOGETHER,byte_duplicate=NO; semantic_duplicate=YES; dhash=0; phash=0
dup-003,cross_split_near_duplicate,pair,manual_dup_003,L51HLb9pTcXWg0hlY2eI,WRFgtFooB6kjdViPXWHk,train,valid,EXACT_SEMANTIC_DUPLICATE,HIGH,"Reviewers judged the pair to depict the same source content rather than two similar independent construction scenes. Byte-level identity is not claimed: phase 4A established distinct SHA-256 hashes, so this is a semantic duplicate, not a byte duplicate.",reports/figures/review_h_near_duplicates.jpg,GROUP_TOGETHER,byte_duplicate=NO; semantic_duplicate=YES; dhash=1; phash=8
dup-004,cross_split_near_duplicate,pair,manual_dup_004,OgbeepjjlVIRghzAMurI,Ud5BlYIB2FSpmLDEEq9z,valid,train,EXACT_SEMANTIC_DUPLICATE,HIGH,"Reviewers judged the pair to depict the same source content rather than two similar independent construction scenes. Byte-level identity is not claimed: phase 4A established distinct SHA-256 hashes, so this is a semantic duplicate, not a byte duplicate.",reports/figures/review_h_near_duplicates.jpg,GROUP_TOGETHER,byte_duplicate=NO; semantic_duplicate=YES; dhash=0; phash=0
dup-005,cross_split_near_duplicate,pair,manual_dup_005,THaelQmgDKdUwfSFIAx5,ymICdUCkVq8IfApx2TvK,train,valid,EXACT_SEMANTIC_DUPLICATE,HIGH,"Reviewers judged the pair to depict the same source content rather than two similar independent construction scenes. Byte-level identity is not claimed: phase 4A established distinct SHA-256 hashes, so this is a semantic duplicate, not a byte duplicate.",reports/figures/review_h_near_duplicates.jpg,GROUP_TOGETHER,byte_duplicate=NO; semantic_duplicate=YES; dhash=2; phash=0
dup-006,cross_split_near_duplicate,pair,manual_dup_006,kvlkvPKhlcIlNoa2lJKq,tjHCOqwRIYw66vZcCHJp,valid,test,EXACT_SEMANTIC_DUPLICATE,HIGH,"Reviewers judged the pair to depict the same source content rather than two similar independent construction scenes. Byte-level identity is not claimed: phase 4A established distinct SHA-256 hashes, so this is a semantic duplicate, not a byte duplicate.",reports/figures/review_h_near_duplicates.jpg,GROUP_TOGETHER,byte_duplicate=NO; semantic_duplicate=YES; dhash=5; phash=5
dup-007,same_split_near_duplicate,pair,manual_dup_007,3LUOWEww9aCx2Cx4B38y,LVQG21gdyYgR1aZBE6h9,train,train,EXACT_SEMANTIC_DUPLICATE,HIGH,"Reviewers judged the two images to show the same underlying scene. The provider placed both in the same split, so this was not leakage under the provider's own split and phase 4B did not review it; the provider split has since been rejected, and the phase 5C split must not separate them.",reports/figures/review_g_near_duplicates.jpg,GROUP_TOGETHER,scene=orange forklift in front of stored material racks; byte_duplicate=NO; semantic_duplicate=YES; dhash=1; phash=0
dup-008,same_split_near_duplicate,pair,manual_dup_008,66p9gzaQFGcmQA2v40Of,pbOZlgeseTpoTXwVJjAh,train,train,NEAR_DUPLICATE_SAME_SCENE,MEDIUM,"Reviewers judged the two images to show the same worker in the same scene with highly similar framing, at different moments - a changed arm and body position distinguishes them. They are therefore not the same frame, but they are strongly correlated, and placing them in different splits would create an unnecessary leakage risk. Grouping serves statistical independence across splits, not byte-level or exact-image identity.",reports/figures/review_o_remaining_near_duplicates.jpg,GROUP_TOGETHER,"scene=same worker shelving stock, same scene and framing, different moment; byte_duplicate=NO; semantic_duplicate=YES; dhash=12; phash=9"
dup-009,same_split_near_duplicate,pair,manual_dup_009,IyVJr4DcosMWf0wZS1uN,ghzZPWPu7P2hqWEVXzdK,train,train,EXACT_SEMANTIC_DUPLICATE,HIGH,"Reviewers judged the two images to show the same underlying scene. The provider placed both in the same split, so this was not leakage under the provider's own split and phase 4B did not review it; the provider split has since been rejected, and the phase 5C split must not separate them.",reports/figures/review_g_near_duplicates.jpg,GROUP_TOGETHER,scene=single yellow hard hat resting on dark weathered beams; byte_duplicate=NO; semantic_duplicate=YES; dhash=1; phash=0
dup-010,same_split_near_duplicate,pair,manual_dup_010,TwF1Rahc7CIP2gpmlbLS,pd0SyehnE6l5xoGZqJCt,train,train,EXACT_SEMANTIC_DUPLICATE,HIGH,"Reviewers judged the two images to show the same underlying scene. The provider placed both in the same split, so this was not leakage under the provider's own split and phase 4B did not review it; the provider split has since been rejected, and the phase 5C split must not separate them.",reports/figures/review_g_near_duplicates.jpg,GROUP_TOGETHER,scene=hanging white PPE garments with white helmets; byte_duplicate=NO; semantic_duplicate=YES; dhash=0; phash=2
