gap_id,severity,persona,title,evidence,recommended_fix,effort,dependency,mandatory
GAP-001,P0,PROFESSOR; RECRUITER,The README states that no model has been trained,README.md Results section: 'Not available. No model has been trained and no evaluation has been run.' Five training runs and three evaluation protocols are committed.,"Replace with the committed final-test and validation tables, read by field from reports/final_test_*.json.",SMALL,none,yes
GAP-002,P0,PROFESSOR,"No video application (criterion C5, 10% of the grade)","No scripts/run_video_inference.py, no video provenance record, no output video, no FPS measurement. No code path in the repository opens a video.","Acquire a licensed construction video of at least 30 s, record its provenance, build the inference runtime, measure FPS on named hardware and describe at least three temporal failure modes with timestamps.",LARGE,frozen checkpoints must be locally available,yes
GAP-003,P0,PROFESSOR,No technical report,reports/technical_report.md does not exist. The evidence exists but is spread across 135 flat report documents written phase by phase.,"Assemble a 6-10 page report from committed artifacts, quoting the phase 10D claim register entries with their scope and limitation.",LARGE,GAP-005 (FP/FN gallery) for the error-analysis section,yes
GAP-004,P0,PROFESSOR,No executable Colab notebook,No .ipynb is tracked. notebooks/README.md lists five planned notebooks and states that none exists. C6's definition of done requires one that runs top to bottom on a fresh Colab runtime.,"One notebook: clone, install, load the frozen checkpoints by digest, reproduce the committed validation metrics, and run a visual demo. It must not train and must never touch the holdout.",MEDIUM,GAP-008 (a documented way to obtain the weights),yes
GAP-005,P0,PROFESSOR,No per-class qualitative FP/FN gallery,"C4's definition of done requires at least one documented false positive and one false negative per class, each with image, prediction, ground truth and a stated hypothesis. reports/segmentation_S0_error_analysis.md embeds zero images and covers S0, which is not the frozen segmenter; the phase 11B qualitative selection is git-ignored under the holdout policy.","Render the gallery from validation imagery for both frozen models, five classes, one FP and one FN each, with hypotheses labelled as hypotheses.",MEDIUM,frozen checkpoints available locally; validation imagery only,yes
GAP-006,P0,PROFESSOR,No GenAI usage declaration,"No declaration exists. CLAUDE.md is an operating constitution for AI-assisted sessions, not a statement of how generative AI was used in producing the submitted work.","A short declaration naming the tools, what they were used for, what was human-reviewed, and what was authored without assistance.",SMALL,none,yes
GAP-007,P0,PROFESSOR; RECRUITER,No 5-8 minute pitch,"No pitch script, no slide deck, no recording. Criterion C7, 5%.","Script from the claim register so every spoken number matches a committed artifact, then record with the real pipeline output as the demo.",LARGE,GAP-002 (the demo shown must be real pipeline output),yes
GAP-008,P1,ML_ENGINEER; FIRST_TIME_USER,Frozen checkpoints cannot be obtained from a clean clone,"Both checkpoints are git-ignored by policy and identified only by SHA-256. No documented download, release asset or retraining command exists, so no third party can reproduce any model result.","Publish both checkpoints as GitHub release assets addressed by their recorded digests, and document the fetch command. Retraining is the fallback, not the primary path, because a re-run produces different bytes.",SMALL,none,no
GAP-009,P1,ML_ENGINEER; FIRST_TIME_USER,The documented command path stops at phase 5C.1,"The README Setup section ends at optimize_split_candidates.py. No command is documented for the split freeze, task materialisation, the detection or segmentation adapters, any training run, the comparison, the benchmark or the holdout evaluation, though all those scripts exist and ran.","Document the full ordered pipeline, marking which steps need a GPU, which contact the provider, and which are deliberately not re-runnable.",MEDIUM,none,no
GAP-010,P1,RECRUITER; FIRST_TIME_USER,"No demo path: clone, install, see something working is impossible","No notebook, no inference script, no sample image, no CLI entry point that runs a frozen model on an image.","A single predict command taking an image path and writing an annotated output, plus one committed sample image licensed for redistribution.",MEDIUM,GAP-008,no
GAP-011,P1,RECRUITER; PROFESSOR,No software license,No LICENSE file. README states 'The software license of this repository is not yet chosen.' A public portfolio repository without a license is legally all-rights-reserved and reads as unfinished.,"Choose a permissive license (MIT or Apache-2.0), add the file, and keep the dataset's CC BY 4.0 attribution separate and explicit.",SMALL,none,no
